ERROR - C:\Program Files\PTC\envir_creo6\configuration\setup-6.0.2.0\config.pro, linenum 298:  Keyword 'STYLE_DEFAULT_CONNECTIONS' is not valid.
Connection restored with License Server(s)  1
Connection restored with License Server(s)  2
Connection restored with License Server(s)  3
Connection restored with License Server(s)  4
Connection restored with License Server(s)  5
Connection restored with License Server(s)  6
Connection restored with License Server(s)  7
Connection restored with License Server(s)  8
Connection restored with License Server(s)  9
Connection restored with License Server(s)  10
